"ALIAS","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","Bsub_168_cells_FLT_Rep1_BS-A1","Bsub_168_cells_FLT_Rep2_BS-A2","Bsub_168_cells_FLT_Rep3_BS-A3","Bsub_168_cells_FLT_Rep4_BS-A4","Bsub_168_cells_FLT_Rep5_BS-A5","Bsub_168_cells_FLT_Rep6_BS-C1","Bsub_168_cells_FLT_Rep7_BS-C2","Bsub_168_cells_FLT_Rep8_BS-C3","Bsub_168_cells_FLT_Rep9_BS-C4","Bsub_168_cells_GC_Rep1_BS-A1","Bsub_168_cells_GC_Rep2_BS-A2","Bsub_168_cells_GC_Rep3_BS-A3","Bsub_168_cells_GC_Rep4_BS-A4","Bsub_168_cells_GC_Rep5_BS-A5","Bsub_168_cells_GC_Rep6_BS-C1","Bsub_168_cells_GC_Rep7_BS-C2","Bsub_168_cells_GC_Rep8_BS-C3","Bsub_168_cells_GC_Rep9_BS-C4","Log2fc_(FLT)v(GC)","P.value_(FLT)v(GC)","Adj.p.value_(FLT)v(GC)","Log2fc_(GC)v(FLT)","P.value_(GC)v(FLT)","Adj.p.value_(GC)v(FLT)","All.mean","All.stdev","LRT.p.value","Group.Mean_(FLT)","Group.Mean_(GC)","Group.Stdev_(FLT)","Group.Stdev_(GC)"
"BSU00010","dnaA","chromosomal replication initiator informational ATPase","NP_387882.1","939978","224308.Bsubs1_010100000005","GO:0003676, GO:0003677, GO:0003688, GO:0003690, GO:0005488, GO:0005623, GO:0005886, GO:0006139, GO:0006259, GO:0006260, GO:0006261, GO:0006270, GO:0006725, GO:0006807, GO:0008152, GO:0009058, GO:0009059, GO:0009987, GO:0016020, GO:0018130, GO:0019438, GO:0034641, GO:0034645, GO:0034654, GO:0043170, GO:0043565, GO:0044237, GO:0044238, GO:0044249, GO:0044260, GO:0044271, GO:0044464, GO:0046483, GO:0071704, GO:0071897, GO:0071944, GO:0090304, GO:0097159, GO:1901360, GO:1901362, GO:1901363, GO:1901576, GO:1990837",13915.749601255,14721.7657522351,15339.7157109813,17907.3650745414,13532.6394560051,14732.476361597,13059.1558560039,15468.3944813174,17537.0627356196,17041.5343273552,17033.16563126,22267.5236858472,16768.260499117,19908.3865471386,21412.3486515937,19445.402286805,18417.0624851339,17787.0849883615,-0.320344483474598,9.33272743720583e-05,0.000415747656860638,0.320344483474598,9.33272743720583e-05,0.000415747656860638,17016.3941184538,2633.9989111269,0.000424748303256214,"15134.93","18897.86","1669.769","1997.544"
"BSU00020","dnaN","DNA polymerase III (beta subunit)","NP_387883.1","939970","224308.Bsubs1_010100000010","GO:0006139, GO:0006259, GO:0006260, GO:0006261, GO:0006271, GO:0006725, GO:0006807, GO:0008152, GO:0009058, GO:0009059, GO:0009987, GO:0018130, GO:0019438, GO:0034641, GO:0034645, GO:0034654, GO:0043170, GO:0044237, GO:0044238, GO:0044249, GO:0044260, GO:0044271, GO:0046483, GO:0071704, GO:0071897, GO:0090304, GO:1901360, GO:1901362, GO:1901576",12418.924070213,15116.8175739324,15179.2279853407,17551.8226232732,13199.7387130793,14278.912997309,11958.0990868034,16075.8357628009,17829.1197807339,19867.702272458,20286.6543443675,26232.333431086,19799.9582579002,23883.9353684442,25215.7553631763,21510.3166630266,21321.1008823081,21409.8104249365,-0.578608594766867,5.56472948786101e-10,7.00017675347971e-09,0.578608594766867,5.56472948786101e-10,7.00017675347971e-09,18507.5592000661,4348.7778546732,8.17832464829576e-09,"14845.39","22169.73","2097.015","2369.470"
"BSU00030","rlbA","RNA binding protein involved in ribosome maturation","NP_387884.1","939444",NA,"",1658.73417611492,1417.60531029813,1561.15923723198,1912.29079921351,1435.7938716636,1439.18544269532,1622.85983739126,1628.64668668577,1646.9392298836,1753.36494118879,1687.71902146845,2298.68126354708,2053.35821986338,2028.82188761709,2043.48064360824,1872.78525165194,2028.06077355889,1818.0396229325,-0.29575530153559,0.000101134660237,0.000447824275529438,0.29575530153559,0.000101134660237,0.000447824275529438,1772.64034536747,250.446160733073,0.000454674799197165,"1591.468","1953.812","154.7046","188.4171"
"BSU00040","recF","RecA filament-DNA complex stabilisation, ssDNA and dsDNA binding, ATP binding","NP_387885.1","939454","224308.Bsubs1_010100000020","GO:0000731, GO:0006139, GO:0006259, GO:0006281, GO:0006302, GO:0006725, GO:0006807, GO:0006950, GO:0006974, GO:0008152, GO:0009058, GO:0009059, GO:0009987, GO:0018130, GO:0019438, GO:0033554, GO:0034641, GO:0034645, GO:0034654, GO:0043170, GO:0044237, GO:0044238, GO:0044249, GO:0044260, GO:0044271, GO:0046483, GO:0050896, GO:0051716, GO:0071704, GO:0071897, GO:0090304, GO:1901360, GO:1901362, GO:1901576",33225.5277169725,30065.0950100508,31127.5662944219,34968.0619176675,27620.7882472159,26529.589719356,32653.6739699417,30566.5228152018,30633.5494797937,27977.019122623,25640.5904908725,32875.4646499901,32257.6793656078,31239.2053784808,29496.8572205419,30853.3558057089,31423.4283883006,26696.8289052036,0.0472158567683546,0.495033226940233,0.611268022557544,-0.0472158567683546,0.495033226940233,0.611268022557544,30325.0446943306,2564.97512277988,0.611278847348944,"30821.15","29828.94","2640.109","2540.990"
"BSU00050","remB","regulator of extracellular matrix formation","NP_387886.2","939466",NA,"",3433.52439499288,3051.54613041719,3611.70198452918,3842.53481638364,3113.48442290926,2817.15904875338,3407.67113383009,3587.24631493196,3199.74919238888,3077.29760511841,2757.04881419281,3913.00834861162,3740.06082842571,3858.67851287364,3464.97031997377,3424.96063276856,3634.33325949259,3118.42732458239,-0.0435955669150362,0.597888427934311,0.699458377514698,0.0435955669150362,0.597888427934311,0.699458377514698,3391.85572695422,351.867907674133,0.699455517201543,"3340.513","3443.198","321.7852","391.9459"
"BSU00060","gyrB","DNA gyrase (subunit B)","NP_387887.1","939456","224308.Bsubs1_010100000030","",52814.853694354,58452.7514254659,60233.0956281641,67466.3164083993,58373.2463035843,50891.0333942743,55560.5404714594,62916.0202896555,62842.7945705803,58365.7599337114,54444.1530377945,67491.4944790976,64237.7997879578,66713.1567852572,63680.424705013,65980.4545920417,62838.8834619577,55921.3788513695,-0.0798196231389394,0.237580851999261,0.348809022762841,0.0798196231389394,0.237580851999261,0.348809022762841,60512.4532122299,5166.05712979143,0.34880394081961,"58838.96","62185.95","5239.292","4791.746"
"BSU00070","gyrA","DNA gyrase (subunit A)","NP_387888.1","940002","224308.Bsubs1_010100000035","GO:0000166, GO:0003676, GO:0003677, GO:0003824, GO:0005488, GO:0005524, GO:0005622, GO:0005623, GO:0006139, GO:0006259, GO:0006725, GO:0006807, GO:0006996, GO:0008094, GO:0008144, GO:0008152, GO:0009987, GO:0016043, GO:0016462, GO:0016787, GO:0016817, GO:0016818, GO:0016887, GO:0017076, GO:0017111, GO:0032553, GO:0032555, GO:0032991, GO:0034641, GO:0035639, GO:0036094, GO:0042623, GO:0043167, GO:0043168, GO:0043170, GO:0044237, GO:0044238, GO:0044260, GO:0044424, GO:0044464, GO:0046483, GO:0051276, GO:0071103, GO:0071704, GO:0071840, GO:0090304, GO:0097159, GO:0097367, GO:0140097, GO:1901265, GO:1901360, GO:1901363",80908.5228897025,124184.254491603,94543.7932648079,100346.804467774,119799.647492674,100865.671918404,87916.8239185825,94122.7754451069,103565.996339628,108487.778562531,103279.66467074,106293.004538445,93169.8460091997,103250.348495523,109053.990363301,103105.79881093,94754.8403564258,111931.288963596,-0.0424762641255994,0.603386762384755,0.703659885130285,0.0424762641255994,0.603386762384755,0.703659885130285,102198.93616661,10625.6027632794,0.70366892641906,"100694.9","103703.0","13968.463"," 6301.763"
"BSU00080","yaaC","hypothetical protein","NP_387889.1","939969","224308.Bsubs1_010100000040","",120.531367166753,173.93138088364,189.959700870291,88.8653742541463,173.422595207929,220.139403342801,189.897747197713,151.645470981035,117.953344837525,202.202723446715,301.301675542482,200.994696447679,320.387699584806,138.649261636456,165.732883362212,191.179190923913,325.838796246545,269.422719076317,-0.572560333771119,0.00319406160405639,0.00941631476881605,0.572560333771119,0.00319406160405639,0.00941631476881605,196.780890611609,68.5890513949627,0.00960569748469421,"158.4829","235.0788","42.15651","70.14023"
"BSU00090","guaB","inosine-monophosphate dehydrogenase","NP_387890.1","938032","224308.Bsubs1_010100000045","GO:0003824, GO:0006139, GO:0006163, GO:0006164, GO:0006725, GO:0006753, GO:0006793, GO:0006796, GO:0006807, GO:0008152, GO:0009058, GO:0009117, GO:0009141, GO:0009142, GO:0009144, GO:0009145, GO:0009150, GO:0009152, GO:0009165, GO:0009199, GO:0009201, GO:0009205, GO:0009206, GO:0009259, GO:0009260, GO:0009987, GO:0016491, GO:0016614, GO:0016616, GO:0018130, GO:0019438, GO:0019637, GO:0019693, GO:0034404, GO:0034641, GO:0034654, GO:0044237, GO:0044238, GO:0044249, GO:0044271, GO:0044281, GO:0044283, GO:0046390, GO:0046483, GO:0055086, GO:0055114, GO:0071704, GO:0072521, GO:0072522, GO:0090407, GO:1901135, GO:1901137, GO:1901293, GO:1901360, GO:1901362, GO:1901564, GO:1901566, GO:1901576",22574.0066566667,30214.3920290243,32392.5045339762,36245.2702029068,27979.2560002867,21947.0265101364,21706.2901436764,36589.183465794,38810.6301613703,29153.0905187104,30550.5708042339,43267.1050909802,23675.7224163695,29560.3290735321,37192.103266509,30161.1628248068,34029.3255037467,28669.2728443604,-0.0926224627581354,0.508630831976577,0.622503406299691,0.0926224627581354,0.508630831976577,0.622503406299691,30817.6245581715,6105.13031606905,0.622205618853078,"29828.73","31806.52","6693.455","5674.650"
"BSU00100","dacA","D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)","NP_387891.1","940000","224308.Bsubs1_010100000050","GO:0003824, GO:0004175, GO:0006508, GO:0006807, GO:0008152, GO:0008233, GO:0016787, GO:0019538, GO:0043170, GO:0044238, GO:0070011, GO:0071704, GO:0140096, GO:1901564",13500.7675725997,17166.4422031013,14426.5587675751,13992.3216643321,18797.6825258138,18376.0448952358,10997.4933128308,12682.9221424853,15307.1152692526,19401.7860694272,22140.7197715742,19329.4421392354,16696.0087218989,21954.1782140971,21811.2826834872,18892.4498897224,15633.2958241457,22396.977552835,-0.39839582930539,0.0003413016044079,0.00130395470605538,0.39839582930539,0.0003413016044079,0.00130395470605538,17416.8605122027,3493.30993695279,0.00133128135674523,"15027.48","19806.24","2635.857","2477.612"
