REFSEQ,SYMBOL,GENENAME,ENTREZID,GOSLIM_IDS,Ecol-K-12MG1655-1G-CTRL-Rep1,Ecol-K-12MG1655-1G-CTRL-Rep2,Ecol-K-12MG1655-1G-CTRL-Rep3,Ecol-K-12MG1655-1G-CTRL-Rep4,Ecol-K-12MG1655-uG-Clinorotation-Rep1,Ecol-K-12MG1655-uG-Clinorotation-Rep2,Ecol-K-12MG1655-uG-Clinorotation-Rep3,Ecol-K-12MG1655-uG-Clinorotation-Rep4,All.mean,All.stdev,F.p.value,Group.Mean_(1G),Group.Mean_(uG),Group.Stdev_(1G),Group.Stdev_(uG),Log2fc_(1G)v(uG),Log2fc_(uG)v(1G),P.value_(1G)v(uG),P.value_(uG)v(1G),Adj.p.value_(1G)v(uG),Adj.p.value_(uG)v(1G)
NP_417662,mlaF,"ABC transporter maintaining OM lipid asymmetry, ATP-binding protein",947729,"GO:0003824, GO:0005215, GO:0005975, GO:0006520, GO:0006796, GO:0006810, GO:0006817, GO:0006865, GO:0008152, GO:0008643, GO:0016787, GO:0022857, GO:0042626, GO:0044238, GO:0051179",8.272673916,8.290736652,8.396276405,8.770787293,8.025703614,8.664476893,8.573382225,8.912875121,8.488364015,0.071960566,0.571129425,8.544109463,8.432618567,4.272054732,4.216309283,0.111490897,-0.111490897,0.571129425,0.571129425,0.998164659,0.998164659
NP_417658,mlaB,"ABC transporter maintaining OM lipid asymmetry, cytoplasmic STAS component",947954,NA,8.662855713,8.728913387,8.640570676,8.446341147,8.91143923,8.613133649,8.588855875,8.685657985,8.659720958,0.019505676,0.438218187,8.699771685,8.619670231,4.349885842,4.309835115,0.080101454,-0.080101454,0.438218187,0.438218187,0.998164659,0.998164659
NP_417661,mlaE,"ABC transporter maintaining OM lipid asymmetry, inner membrane permease protein",947732,NA,8.551492659,8.674168944,8.705203336,8.477295264,8.730415918,8.864201972,8.728436311,8.809095415,8.692538727,0.012608617,0.048579517,8.783037404,8.602040051,4.391518702,4.301020026,0.180997353,-0.180997353,0.048579517,0.048579517,0.998164659,0.998164659
NP_416848,mlaA,"ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component",945582,NA,8.641726953,8.538156621,8.500573031,8.247182679,8.539220918,8.392226357,8.634928416,8.041369689,8.441923083,0.039304315,0.58230399,8.401936345,8.481909821,4.200968173,4.240954911,-0.079973476,0.079973476,0.58230399,0.58230399,0.998164659,0.998164659
NP_417659,mlaC,"ABC transporter maintaining OM lipid asymmetry, periplasmic binding protein",947710,NA,8.281485158,8.274369879,8.192165106,8.604922666,8.031411366,8.464459806,8.305913753,8.534643979,8.336171464,0.035084553,0.975813294,8.334107226,8.338235702,4.167053613,4.169117851,-0.004128476,0.004128476,0.975813294,0.975813294,0.998164659,0.998164659
NP_415935,cybB,cytochrome b561,947241,"GO:0005886, GO:0006091, GO:0006810, GO:0022904, NA",9.663208031,9.660776962,9.599208137,9.234463671,9.617605686,9.275254339,9.486645409,9.347894376,9.485632076,0.029123492,0.395918455,9.431849953,9.5394142,4.715924976,4.7697071,-0.107564247,0.107564247,0.395918455,0.395918455,0.998164659,0.998164659
NP_416483,yodB,cytochrome b561 homolog,946491,"GO:0005886, GO:0006091, GO:0006810, GO:0022904, NA",8.518354361,8.568373602,8.568373602,8.463043644,8.400108315,8.506845151,8.62211429,8.462682028,8.513736874,0.011153626,0.682122783,8.497937446,8.529536302,4.248968723,4.264768151,-0.031598856,0.031598856,0.682122783,0.682122783,0.998164659,0.998164659
NP_415497,cbdA,"cytochrome bd-II oxidase, subunit I",945585,NA,8.462744003,8.270351614,8.382768666,9.047985405,8.332598845,8.78333424,8.528929493,8.729159765,8.567234004,0.061595256,0.771426803,8.593505586,8.540962422,4.296752793,4.270481211,0.052543164,-0.052543164,0.771426803,0.771426803,0.998164659,0.998164659
NP_415498,cbdB,"cytochrome bd-II oxidase, subunit II",947547,"GO:0003824, GO:0006091, GO:0008152, GO:0009987, GO:0016491, GO:0022904, GO:0032991, GO:0043234",8.19328398,8.307007526,8.197028177,8.049892725,8.291747384,8.339049299,8.314053475,8.300902581,8.249120643,0.011234949,0.130671288,8.311438185,8.186803102,4.155719092,4.093401551,0.124635083,-0.124635083,0.130671288,0.130671288,0.998164659,0.998164659
NP_417102,ypjD,cytochrome c assembly protein family inner membrane protein,947098,NA,9.151358183,9.156202208,9.120100947,8.887721041,9.046536897,9.040460769,9.210922721,8.810591849,9.052986827,0.021904881,0.633011091,9.027128059,9.078845595,4.51356403,4.539422797,-0.051717536,0.051717536,0.633011091,0.633011091,0.998164659,0.998164659
NP_416702,ccmD,cytochrome c biogenesis protein; heme export ABC transporter holo-CcmE release factor,946709,NA,8.744082761,8.567808657,8.586205005,8.071693256,8.664714918,8.436053915,8.514523488,8.102043436,8.460890679,0.054546706,0.711200233,8.429333939,8.492447419,4.21466697,4.24622371,-0.06311348,0.06311348,0.711200233,0.711200233,0.998164659,0.998164659
YP_588444,cydX,cytochrome d (bd-I) ubiquinol oxidase subunit X,1450246,,8.435765788,8.288073125,8.489221012,7.671185682,8.679582059,7.8187429,8.307286425,7.554661445,8.155564804,0.138407,0.630453054,8.090068207,8.221061402,4.045034104,4.110530701,-0.130993195,0.130993195,0.630453054,0.630453054,0.998164659,0.998164659
NP_415261,cydA,"cytochrome d terminal oxidase, subunit I",945341,NA,8.59766587,8.710473127,8.692116643,8.653050567,8.693728806,8.557633909,8.714711093,8.695949487,8.664416188,0.009973646,0.976054111,8.665505824,8.663326552,4.332752912,4.331663276,0.002179272,-0.002179272,0.976054111,0.976054111,0.998164659,0.998164659
NP_415262,cydB,"cytochrome d terminal oxidase, subunit II",945347,"GO:0003824, GO:0006091, GO:0008152, GO:0009987, GO:0016491, GO:0022904, GO:0032991, GO:0043234",8.485331657,8.476123901,8.438917815,8.571743002,8.490742034,8.640731032,8.488036845,8.183236835,8.47185789,0.020729937,0.687217343,8.450686686,8.493029094,4.225343343,4.246514547,-0.042342407,0.042342407,0.687217343,0.687217343,0.998164659,0.998164659
NP_414965,cyoB,cytochrome o ubiquinol oxidase subunit I,945615,"GO:0003824, GO:0006091, GO:0006119, GO:0016491, GO:0022904, GO:0008152",8.784379628,8.755671933,8.632436891,8.482909725,8.669884641,8.506815143,8.820885788,8.369733678,8.627839678,0.026469075,0.546830844,8.591829813,8.663849544,4.295914906,4.331924772,-0.072019731,0.072019731,0.546830844,0.546830844,0.998164659,0.998164659
NP_414966,cyoA,cytochrome o ubiquinol oxidase subunit II,945080,"GO:0003824, GO:0006091, GO:0006810, GO:0006886, GO:0009987, GO:0015031, GO:0016491, GO:0022904, GO:0008152, GO:0051179",8.960139167,8.859778778,8.718565274,8.767157537,8.511524101,9.129392633,8.937737622,9.157691868,8.880248372,0.040799981,0.470169536,8.934086556,8.826410189,4.467043278,4.413205095,0.107676367,-0.107676367,0.470169536,0.470169536,0.998164659,0.998164659
NP_414964,cyoC,cytochrome o ubiquinol oxidase subunit III,946897,"GO:0003824, GO:0006091, GO:0006119, GO:0016491, GO:0022904, GO:0008152",9.158876467,8.916496212,8.930423876,8.476192697,9.338253429,8.78559119,8.830273065,8.65186194,8.885996109,0.064682423,0.866961846,8.901494906,8.870497313,4.450747453,4.435248657,0.030997593,-0.030997593,0.866961846,0.866961846,0.998164659,0.998164659
NP_414963,cyoD,cytochrome o ubiquinol oxidase subunit IV,944918,NA,8.048182396,7.996896967,8.077170261,7.977182832,7.63293728,8.023231752,8.053775726,7.88472928,7.961763312,0.020352642,0.242486642,7.898668509,8.024858114,3.949334255,4.012429057,-0.126189605,0.126189605,0.242486642,0.242486642,0.998164659,0.998164659
NP_414602,polB,DNA polymerase II,944779,NA,9.353770016,9.062652362,9.415980293,9.061418993,9.281433395,9.250355057,9.365753097,9.170959872,9.245290386,0.021341528,0.682392319,9.267125355,9.223455416,4.633562677,4.611727708,0.043669939,-0.043669939,0.682392319,0.682392319,0.998164659,0.998164659
NP_414726,dnaE,DNA polymerase III alpha subunit,944877,NA,8.558108219,8.545561221,8.504567167,8.520892847,8.28128142,8.717896191,8.678193275,8.651690003,8.557273793,0.021244677,0.6392794,8.582265222,8.532282364,4.291132611,4.266141182,0.049982858,-0.049982858,0.6392794,0.6392794,0.998164659,0.998164659
NP_414751,dnaQ,DNA polymerase III epsilon subunit,946441,NA,8.64206185,8.422177468,8.715058389,8.893296039,8.639464082,8.813059975,8.71418047,8.840202776,8.709937631,0.022902169,0.454822521,8.751726826,8.668148437,4.375863413,4.334074218,0.083578389,-0.083578389,0.454822521,0.454822521,0.998164659,0.998164659
NP_418156,dnaN,"DNA polymerase III, beta subunit",948218,"GO:0003676, GO:0003677, GO:0003824, GO:0003887, GO:0005488, GO:0005622, GO:0005737, GO:0005829, GO:0006139, GO:0006259, GO:0006260, GO:0008152, GO:0016740, GO:0044238, GO:0044464",8.818633128,8.727659302,8.751914626,8.602276782,8.789362436,8.550520755,8.654022202,8.907600191,8.725248678,0.018221513,0.997923107,8.725376396,8.725120959,4.362688198,4.36256048,0.000255437,-0.000255437,0.997923107,0.997923107,0.998929078,0.998929078
NP_418680,holC,"DNA polymerase III, chi subunit",948787,NA,8.351458155,8.385903201,8.316375813,8.237570388,8.562176457,8.339754701,8.378554454,8.326441351,8.362279315,0.012710733,0.348134139,8.40173174,8.322826889,4.20086587,4.161413445,0.078904851,-0.078904851,0.348134139,0.348134139,0.998164659,0.998164659
NP_415617,holB,"DNA polymerase III, delta prime subunit",945661,"GO:0006139, GO:0006259, GO:0006260, GO:0006807, GO:0008152, GO:0009058, GO:0009987, GO:0044238",8.575575021,8.720831489,8.628054617,8.785615185,8.647474458,8.661481059,8.652130878,8.657293339,8.666057006,0.01033588,0.757085711,8.654594934,8.677519078,4.327297467,4.338759539,-0.022924144,0.022924144,0.757085711,0.757085711,0.998164659,0.998164659
NP_415173,holA,"DNA polymerase III, delta subunit",947573,NA,7.974181519,8.014073266,7.921641989,8.320068087,7.968001214,7.968590226,7.920012081,8.250605492,8.042146734,0.025665925,0.792570318,8.026802253,8.057491215,4.013401127,4.028745608,-0.030688962,0.030688962,0.792570318,0.792570318,0.998164659,0.998164659
NP_418789,holD,"DNA polymerase III, psi subunit",948890,,8.156283574,8.108440401,8.154812244,7.867323687,8.227300364,8.459537436,8.244084804,7.900169196,8.139743963,0.031475893,0.306300384,8.20777295,8.071714977,4.103886475,4.035857488,0.136057974,-0.136057974,0.306300384,0.306300384,0.998164659,0.998164659
NP_416356,holE,"DNA polymerase III, theta subunit",947471,,8.935577842,9.0516679,9.042285318,8.235492956,9.1615535,8.469705734,8.790167336,8.205676416,8.736515875,0.115005786,0.522676297,8.656775747,8.816256004,4.328387873,4.408128002,-0.159480257,0.159480257,0.522676297,0.522676297,0.998164659,0.998164659
NP_415003,dnaX,"DNA polymerase III/DNA elongation factor III, tau and gamma subunits",945105,"GO:0003676, GO:0003677, GO:0003824, GO:0005488, GO:0005622, GO:0005634, GO:0005694, GO:0006139, GO:0006259, GO:0006260, GO:0006281, GO:0006796, GO:0006807, GO:0006950, GO:0008152, GO:0009056, GO:0009058, GO:0009987, GO:0016462, GO:0016787, GO:0032991, GO:0043226, GO:0043234, GO:0044238, GO:0044464, GO:0050896",9.187922774,9.236437953,9.098224411,8.78252415,9.18946514,9.041748069,9.187650907,8.870391293,9.074295587,0.02889256,0.974413071,9.072313852,9.076277322,4.536156926,4.538138661,-0.00396347,0.00396347,0.974413071,0.974413071,0.998164659,0.998164659
NP_414766,dinB,DNA polymerase IV,944922,NA,7.921051536,7.9899979,7.984161703,7.538780356,7.98705612,7.900923911,8.031292486,7.539232185,7.861562025,0.039503762,0.966170849,7.864626176,7.858497874,3.932313088,3.929248937,0.006128302,-0.006128302,0.966170849,0.966170849,0.998164659,0.998164659
NP_416739,yfaE,electron transfer,946729,,7.677785991,7.676153314,7.569989867,8.14233985,7.701826002,8.172084583,7.753864673,8.080557835,7.846825264,0.047393282,0.324252689,7.927083273,7.766567256,3.963541637,3.883283628,0.160516017,-0.160516017,0.324252689,0.324252689,0.998164659,0.998164659
NP_418359,fpr,electron transfer,948414,"GO:0003824, GO:0006091, GO:0006629, GO:0006631, GO:0006633, GO:0006636, GO:0006807, GO:0008152, GO:0008202, GO:0008203, GO:0016491, GO:0022904, GO:0044238",7.758252711,7.758252711,7.82974762,7.170652677,7.955449176,7.413841415,7.66541353,7.401714128,7.619165496,0.061587783,0.911225518,7.609104562,7.62922643,3.804552281,3.814613215,-0.020121868,0.020121868,0.911225518,0.911225518,0.998164659,0.998164659
NP_416709,napG,electron transfer,945544,"GO:0005886, GO:0016020, GO:0044464",8.281458002,8.326021752,8.352500314,8.220926959,8.454852245,8.333515995,8.302286633,8.308148164,8.322463758,0.01019381,0.46496879,8.349700759,8.295226757,4.17485038,4.147613378,0.054474003,-0.054474003,0.46496879,0.46496879,0.998164659,0.998164659
NP_416708,napH,electron transfer,945984,"GO:0005886, GO:0016020, GO:0044464",9.191126441,9.175315512,9.157403462,9.158780303,9.106587698,9.164387402,9.192468515,9.343678882,9.186218527,0.010883066,0.682972053,9.201780624,9.17065643,4.600890312,4.585328215,0.031124195,-0.031124195,0.682972053,0.682972053,0.998164659,0.998164659
NP_416712,napF,electron transfer,946813,NA,8.289617318,8.197891119,8.164419944,8.256799223,8.325718525,8.184925828,8.161905849,8.074323194,8.206950125,0.012071878,0.615051542,8.186718349,8.227181901,4.093359175,4.11359095,-0.040463552,0.040463552,0.615051542,0.615051542,0.998164659,0.998164659
NP_414996,acrA,multidrug efflux system,945112,"GO:0005215, GO:0005886, GO:0006810, GO:0009636, GO:0009987, GO:0016020, GO:0022857, GO:0044464, GO:0050896, GO:0051179",8.98199984,9.010204872,8.997141756,9.045117831,8.985157305,9.104571108,8.96734567,9.279257183,9.046349446,0.014510028,0.39865571,9.084082816,9.008616075,4.542041408,4.504308037,0.075466742,-0.075466742,0.39865571,0.39865571,0.998164659,0.998164659
NP_417170,emrA,multidrug efflux system,947166,"GO:0005215, GO:0005886, GO:0006810, GO:0009636, GO:0022857, GO:0050896, NA",8.676172826,8.695401541,8.673500024,9.070823593,8.601461737,8.80691945,8.776105626,8.98260945,8.785374281,0.028153275,0.91645525,8.791774066,8.778974496,4.395887033,4.389487248,0.01279957,-0.01279957,0.91645525,0.91645525,0.998164659,0.998164659
NP_418129,emrD,multidrug efflux system protein,948180,"GO:0005215, GO:0005886, GO:0006810, GO:0009987, GO:0016020, GO:0016021, GO:0022857, GO:0044464, GO:0050896, GO:0051179",8.686581524,8.763755975,8.690344905,8.753652683,8.763957154,8.678638002,8.726930561,8.713303645,8.722145556,0.008360889,0.965486292,8.720707341,8.723583772,4.36035367,4.361791886,-0.002876431,0.002876431,0.965486292,0.965486292,0.998164659,0.998164659
NP_417171,emrB,multidrug efflux system protein,947167,"GO:0005215, GO:0005886, GO:0006810, GO:0009987, GO:0016020, GO:0016021, GO:0022857, GO:0044464, GO:0051179",8.451914612,8.281394381,8.424890221,8.397180289,7.903938829,8.82100687,8.46568306,8.586875283,8.416610443,0.059757486,0.755344782,8.444376011,8.388844876,4.222188005,4.194422438,0.055531135,-0.055531135,0.755344782,0.755344782,0.998164659,0.998164659
NP_418166,mdtL,multidrug efflux system protein,948219,"GO:0005215, GO:0005886, GO:0006810, GO:0009987, GO:0016020, GO:0016021, GO:0022857, GO:0044464, GO:0050896, GO:0051179",8.533446001,8.505520507,8.474476602,8.394887554,8.620329436,8.533003474,8.732067648,8.656322259,8.556256685,0.01086127,0.060140105,8.635430704,8.477082666,4.317715352,4.238541333,0.158348038,-0.158348038,0.060140105,0.060140105,0.998164659,0.998164659
NP_418757,mdtM,multidrug efflux system protein,948861,"GO:0005215, GO:0005886, GO:0006810, GO:0009987, GO:0016020, GO:0016021, GO:0022857, GO:0044464, GO:0050896, GO:0051179",8.168407494,8.255432444,8.463475306,8.731413378,8.426770811,8.464174503,8.353739093,8.466519376,8.416241551,0.029225326,0.852572499,8.427800946,8.404682156,4.213900473,4.202341078,0.02311879,-0.02311879,0.852572499,0.852572499,0.998164659,0.998164659
NP_417732,acrF,multidrug efflux system protein,947768,NA,8.991831594,9.026140095,9.019991238,8.967194615,8.996374236,9.198513649,9.022220443,9.030893845,9.031644964,0.010469178,0.423113445,9.062000543,9.001289385,4.531000272,4.500644693,0.060711158,-0.060711158,0.423113445,0.423113445,0.998164659,0.998164659
NP_414995,acrB,multidrug efflux system protein,945108,NA,9.022047222,8.941606563,8.941442231,8.886259725,8.739973305,8.856344378,8.917432335,8.984720348,8.911228263,0.012033276,0.369817235,8.874617591,8.947838935,4.437308796,4.473919468,-0.073221344,0.073221344,0.369817235,0.369817235,0.998164659,0.998164659
NP_415363,mdfA,multidrug efflux system protein,945448,"GO:0005215, GO:0005886, GO:0006810, GO:0009987, GO:0016020, GO:0016021, GO:0022857, GO:0044464, GO:0050896, GO:0051179",8.673306754,8.727968194,8.660816834,8.228508689,8.705653421,8.519382407,8.575141396,8.586875283,8.584706622,0.027254609,0.840948106,8.596763127,8.572650118,4.298381563,4.286325059,0.024113009,-0.024113009,0.840948106,0.840948106,0.998164659,0.998164659
