,From,To,Species,Gene Name
0,NP_253120,15599626,Pseudomonas aeruginosa PAO1,cytochrome b(PA4430)
1,NP_253761,15600267,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA5074)
2,NP_254178,15600684,Pseudomonas aeruginosa PAO1,cytochrome(PA5491)
3,NP_249786,15596292,Pseudomonas aeruginosa PAO1,B-type flagellar protein FliS(PA1095)
4,NP_253918,15600424,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein/permease(PA5231)
5,NP_248846,15595354,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA0156)
6,NP_253917,15600423,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA5230)
7,NP_249816,38258248,Pseudomonas aeruginosa PAO1,NAD-dependent protein deacylase(PA1125)
8,NP_248848,15595356,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux transporter(PA0158)
9,NP_248847,15595355,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA0157)
10,NP_251218,15597724,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA2528)
11,NP_253119,15599625,Pseudomonas aeruginosa PAO1,cytochrome C1(PA4429)
12,NP_252822,15599328,Pseudomonas aeruginosa PAO1,cbb3-type cytochrome C oxidase subunit I(PA4133)
13,NP_251216,15597722,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux transporter(PA2526)
14,NP_251217,218310075,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux transporter(PA2527)
15,NP_253597,15600103,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4910)
16,NP_250127,15596633,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux transporter(PA1436)
17,NP_254205,15600711,Pseudomonas aeruginosa PAO1,potassium efflux transporter(PA5518)
18,NP_250126,300574701,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA1435)
19,NP_252021,15598527,Pseudomonas aeruginosa PAO1,cytochrome P450(PA3331)
20,NP_253596,15600102,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4909)
21,NP_253193,15599699,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA4503)
22,NP_253194,300587309,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA4504)
23,NP_253195,218280368,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4505)
24,NP_251172,15597678,Pseudomonas aeruginosa PAO1,cytochrome C(PA2482)
25,NP_249014,15595520,Pseudomonas aeruginosa PAO1,ABC transporter(PA0323)
26,NP_253190,15599696,Pseudomonas aeruginosa PAO1,ABC transporter(PA4500)
27,NP_249016,15595522,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA0325)
28,NP_249015,15595521,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA0324)
29,NP_253192,15599698,Pseudomonas aeruginosa PAO1,ABC transporter(PA4502)
30,NP_249895,81541544,Pseudomonas aeruginosa PAO1,NAD(P)H-dependent FMN reductase(PA1204)
31,NP_249017,15595523,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA0326)
32,NP_250998,15597504,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA2308)
33,NP_250514,15597020,Pseudomonas aeruginosa PAO1,NADH pyrophosphatase(PA1823)
34,NP_249804,15596310,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein/permease(PA1113)
35,NP_249928,15596434,Pseudomonas aeruginosa PAO1,multidrug resistance efflux pump(PA1237)
36,NP_251604,15598110,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA2914)
37,NP_249929,15596435,Pseudomonas aeruginosa PAO1,multidrug efflux pump outer membrane protein(PA1238)
38,NP_252138,15598644,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA3448)
39,NP_250751,15597257,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA2061)
40,NP_250750,15597256,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA2060)
41,NP_251600,52783530,Pseudomonas aeruginosa PAO1,manganese efflux pump MntP(PA2910)
42,NP_250231,227479379,Pseudomonas aeruginosa PAO1,multidrug efflux system protein MdtI(PA1540)
43,NP_251602,15598108,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA2912)
44,NP_250077,15596583,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA1386)
45,NP_250997,15597503,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA2307)
46,NP_250116,15596622,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA1425)
47,NP_252136,15598642,Pseudomonas aeruginosa PAO1,NAD(P)H-dependent FMN reductase(PA3446)
48,NP_252137,81857081,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA3447)
49,NP_251041,15597547,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA2351)
50,NP_253186,15599692,Pseudomonas aeruginosa PAO1,ABC transporter(PA4496)
51,NP_253065,15599571,Pseudomonas aeruginosa PAO1,multidrug efflux protein(PA4375)
52,NP_253583,15600089,Pseudomonas aeruginosa PAO1,RNA polymerase sigma factor(PA4896)
53,NP_253187,15599693,Pseudomonas aeruginosa PAO1,ABC transporter(PA4497)
54,NP_249360,308154503,Pseudomonas aeruginosa PAO1,error-prone DNA polymerase(PA0669)
55,NP_253981,15600487,Pseudomonas aeruginosa PAO1,multidrug efflux protein NorA(PA5294)
56,NP_251165,15597671,Pseudomonas aeruginosa PAO1,cytochrome P450(PA2475)
57,NP_252133,15598639,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA3443)
58,NP_253064,15599570,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA4374)
59,NP_248797,15595305,Pseudomonas aeruginosa PAO1,cytochrome C oxidase assembly protein(PA0107)
60,NP_249888,38258247,Pseudomonas aeruginosa PAO1,NAD-dependent protein deacylase(PA1197)
61,NP_250748,15597254,Pseudomonas aeruginosa PAO1,ABC transporter(PA2058)
62,NP_248826,15595334,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA0136)
63,NP_249915,15596421,Pseudomonas aeruginosa PAO1,NAD(P)H dehydrogenase(PA1224)
64,NP_248828,15595336,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA0138)
65,NP_252527,15599033,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA3838)
66,NP_249916,15596422,Pseudomonas aeruginosa PAO1,NAD(P)H dehydrogenase(PA1225)
67,NP_248827,15595335,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA0137)
68,NP_250749,15597255,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA2059)
69,NP_250740,15597246,Pseudomonas aeruginosa PAO1,RNA polymerase sigma factor(PA2050)
70,NP_252006,15598512,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA3316)
71,NP_252526,15599032,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA3837)
72,NP_252882,15599388,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA4193)
73,NP_250501,15597007,Pseudomonas aeruginosa PAO1,ABC transporter(PA1810)
74,NP_250985,15597491,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA2295)
75,NP_252883,15599389,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA4194)
76,NP_252366,15598872,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux transporter(PA3676)
77,NP_250500,15597006,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA1809)
78,NP_252884,15599390,Pseudomonas aeruginosa PAO1,ABC transporter(PA4195)
79,NP_250984,15597490,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA2294)
80,NP_252367,15598873,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA3677)
81,NP_252361,15598867,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA3671)
82,NP_252362,15598868,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA3672)
83,NP_252881,15599387,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4192)
84,NP_251709,15598215,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA3019)
85,NP_252912,15599418,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4222)
86,NP_251944,15598450,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA3254)
87,NP_252913,15599419,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4223)
88,NP_250574,81783760,Pseudomonas aeruginosa PAO1,NADH-quinone oxidoreductase subunit A(PA1883)
89,NP_251942,15598448,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA3252)
90,NP_251547,15598053,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA2857)
91,NP_251943,15598449,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA3253)
92,NP_254015,15600521,Pseudomonas aeruginosa PAO1,mono-heme cytochrome C(PA5328)
