From	To	Species	Gene Name
NP_390434	1730987	Bacillus subtilis subsp. subtilis str. 168	hypothetical protein(holA)
NP_390434	474452939	Bacillus subtilis subsp. subtilis str. 168	hypothetical protein(holA)
NP_390434	2635002	Bacillus subtilis subsp. subtilis str. 168	hypothetical protein(holA)
NP_390434	16079610	Bacillus subtilis subsp. subtilis str. 168	hypothetical protein(holA)
NP_390434	728885481	Bacillus subtilis subsp. subtilis str. 168	hypothetical protein(holA)
NP_388354	225184764	Bacillus subtilis subsp. subtilis str. 168	RNA polymerase sigma-B factor(sigB)
NP_388354	133469	Bacillus subtilis subsp. subtilis str. 168	RNA polymerase sigma-B factor(sigB)
NP_388354	255767137	Bacillus subtilis subsp. subtilis str. 168	RNA polymerase sigma-B factor(sigB)
NP_388354	728883360	Bacillus subtilis subsp. subtilis str. 168	RNA polymerase sigma-B factor(sigB)
NP_391407	2636053	Bacillus subtilis subsp. subtilis str. 168	cytochrome c-551(cccB)
NP_391407	16080580	Bacillus subtilis subsp. subtilis str. 168	cytochrome c-551(cccB)
NP_391407	81637578	Bacillus subtilis subsp. subtilis str. 168	cytochrome c-551(cccB)
NP_391407	728886445	Bacillus subtilis subsp. subtilis str. 168	cytochrome c-551(cccB)
NP_388592	7676158	Bacillus subtilis subsp. subtilis str. 168	ABC transporter permease LplB(lplB)
NP_388592	2633024	Bacillus subtilis subsp. subtilis str. 168	ABC transporter permease LplB(lplB)
NP_388592	16077778	Bacillus subtilis subsp. subtilis str. 168	ABC transporter permease LplB(lplB)
NP_388592	728883607	Bacillus subtilis subsp. subtilis str. 168	ABC transporter permease LplB(lplB)
NP_388593	728883608	Bacillus subtilis subsp. subtilis str. 168	ABC transporter permease LplC(lplC)
NP_388593	729951	Bacillus subtilis subsp. subtilis str. 168	ABC transporter permease LplC(lplC)
NP_388593	2633025	Bacillus subtilis subsp. subtilis str. 168	ABC transporter permease LplC(lplC)
NP_388593	16077779	Bacillus subtilis subsp. subtilis str. 168	ABC transporter permease LplC(lplC)
