From	To	Species	Gene Name
NP_417169	732683466	Escherichia coli str. K-12 substr. MG1655	transcriptional repressor of microcin B17 synthesis and multidrug efflux(mprA)
NP_417169	16130596	Escherichia coli str. K-12 substr. MG1655	transcriptional repressor of microcin B17 synthesis and multidrug efflux(mprA)
NP_417169	937519109	Escherichia coli str. K-12 substr. MG1655	transcriptional repressor of microcin B17 synthesis and multidrug efflux(mprA)
NP_417169	999849414	Escherichia coli str. K-12 substr. MG1655	transcriptional repressor of microcin B17 synthesis and multidrug efflux(mprA)
NP_417169	985001528	Escherichia coli str. K-12 substr. MG1655	transcriptional repressor of microcin B17 synthesis and multidrug efflux(mprA)
NP_417169	1789040	Escherichia coli str. K-12 substr. MG1655	transcriptional repressor of microcin B17 synthesis and multidrug efflux(mprA)
NP_418414	732686437	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta subunit(rpoB)
NP_418414	937517867	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta subunit(rpoB)
NP_418414	16131817	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta subunit(rpoB)
NP_418414	999848179	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta subunit(rpoB)
NP_418414	1790419	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta subunit(rpoB)
NP_418414	985002761	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta subunit(rpoB)
NP_418415	2367335	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta prime subunit(rpoC)
NP_418415	732686436	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta prime subunit(rpoC)
NP_418415	937517866	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta prime subunit(rpoC)
NP_418415	999848178	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta prime subunit(rpoC)
NP_418415	16131818	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta prime subunit(rpoC)
NP_418415	985002762	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, beta prime subunit(rpoC)
NP_415935	732684667	Escherichia coli str. K-12 substr. MG1655	cytochrome b561(cybB)
NP_415935	985004539	Escherichia coli str. K-12 substr. MG1655	cytochrome b561(cybB)
NP_415935	937520320	Escherichia coli str. K-12 substr. MG1655	cytochrome b561(cybB)
NP_415935	999850623	Escherichia coli str. K-12 substr. MG1655	cytochrome b561(cybB)
NP_415935	87081903	Escherichia coli str. K-12 substr. MG1655	cytochrome b561(cybB)
NP_415935	90111268	Escherichia coli str. K-12 substr. MG1655	cytochrome b561(cybB)
NP_414726	1786381	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III alpha subunit(dnaE)
NP_414726	937521506	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III alpha subunit(dnaE)
NP_414726	999847592	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III alpha subunit(dnaE)
NP_414726	985003349	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III alpha subunit(dnaE)
NP_414726	732685849	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III alpha subunit(dnaE)
NP_414726	16128177	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III alpha subunit(dnaE)
NP_416117	1787884	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtJ)
NP_416117	732684490	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtJ)
NP_416117	16129558	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtJ)
NP_416117	999850443	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtJ)
NP_416117	937520141	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtJ)
NP_416117	985004719	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtJ)
NP_416116	1787883	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtI)
NP_416116	16129557	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtI)
NP_416116	999850444	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtI)
NP_416116	732684491	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtI)
NP_416116	937520142	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtI)
NP_416116	985004718	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtI)
YP_025307	999850381	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtK)
YP_025307	48994890	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtK)
YP_025307	732684427	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtK)
YP_025307	49176133	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtK)
YP_025307	937520078	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtK)
YP_025307	985004782	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system transporter(mdtK)
NP_416356	16129795	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, theta subunit(holE)
NP_416356	1788147	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, theta subunit(holE)
NP_416356	937519902	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, theta subunit(holE)
NP_416356	732684250	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, theta subunit(holE)
NP_416356	985000736	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, theta subunit(holE)
NP_416356	999850204	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, theta subunit(holE)
NP_415262	732685326	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit II(cydB)
NP_415262	985003877	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit II(cydB)
NP_415262	937520983	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit II(cydB)
NP_415262	16128709	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit II(cydB)
NP_415262	999851278	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit II(cydB)
NP_415262	1786954	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit II(cydB)
NP_415261	732685327	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit I(cydA)
NP_415261	87081779	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit I(cydA)
NP_415261	90111166	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit I(cydA)
NP_415261	985003876	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit I(cydA)
NP_415261	937520984	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit I(cydA)
NP_415261	999851279	Escherichia coli str. K-12 substr. MG1655	cytochrome d terminal oxidase, subunit I(cydA)
NP_417159	1789028	Escherichia coli str. K-12 substr. MG1655	hydrogen donor for NrdEF electron transport system; glutaredoxin-like protein(nrdH)
NP_417159	937519118	Escherichia coli str. K-12 substr. MG1655	hydrogen donor for NrdEF electron transport system; glutaredoxin-like protein(nrdH)
NP_417159	16130587	Escherichia coli str. K-12 substr. MG1655	hydrogen donor for NrdEF electron transport system; glutaredoxin-like protein(nrdH)
NP_417159	999849423	Escherichia coli str. K-12 substr. MG1655	hydrogen donor for NrdEF electron transport system; glutaredoxin-like protein(nrdH)
NP_417159	732683475	Escherichia coli str. K-12 substr. MG1655	hydrogen donor for NrdEF electron transport system; glutaredoxin-like protein(nrdH)
NP_417159	985001519	Escherichia coli str. K-12 substr. MG1655	hydrogen donor for NrdEF electron transport system; glutaredoxin-like protein(nrdH)
NP_418129	732686717	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(emrD)
NP_418129	87082312	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(emrD)
NP_418129	985002479	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(emrD)
NP_418129	90111634	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(emrD)
