,GENENAME,ORG,ENTREZID,REFSEQ,LOG2FC,True_EID
0,ABC_transporter,PA,879411,NP_248876,-0.038469493,15595384
1,ABC_transporter,PA,883108,NP_248894,-0.207717935,15595400
2,ABC_transporter,PA,878380,NP_249014,-0.187309066,15595520
3,ABC_transporter,PA,880771,NP_249293,0.085172888,15595799
4,ABC_transporter,PA,879023,NP_249295,0.038833821,15595801
5,ABC_transporter,PA,879321,NP_250033,0.224284051,15596539
6,ABC_transporter,PA,880658,NP_250501,0.007856056,15597007
7,ABC_transporter,PA,878515,NP_250748,0.048694384,15597254
8,ABC_transporter,PA,877884,NP_250894,-0.101873641,15597400
9,ABC_transporter,PA,878805,NP_252578,-0.020607108,15599084
10,ABC_transporter,PA,880469,NP_252884,-0.291695098,15599390
11,ABC_transporter,PA,881067,NP_253186,0.034090573,15599692
12,ABC_transporter,PA,881082,NP_253187,-0.229347601,15599693
13,ABC_transporter,PA,881062,NP_253190,0.175296926,15599696
14,ABC_transporter,PA,881096,NP_253192,-0.014762193,15599698
15,ABC_transporter,PA,878522,NP_253600,0.059624801,15600106
16,ABC_transporter,PA,879765,NP_253763,-0.060841748,15600269
17,ABC_transporter,PA,880087,NP_253769,0.008900125,15600275
18,ABC_transporter,PA,879515,NP_253783,-0.024953277,15600289
19,ABC_transporter,PA,878396,NP_248763,-0.10293278,15595271
20,ABC_transporter,PA,879471,NP_248826,0.298966987,15595334
21,ABC_transporter,PA,882170,NP_248874,-0.003602468,15595382
22,ABC_transporter,PA,880297,NP_249017,-0.060973334,15595523
23,ABC_transporter,PA,880619,NP_249294,0.06901323,15595800
24,ABC_transporter,PA,879352,NP_250077,-0.050249108,15596583
25,ABC_transporter,PA,881746,NP_250116,-0.085248346,15596622
26,ABC_transporter,PA,878351,NP_250498,0.003718949,15597004
27,ABC_transporter,PA,877832,NP_250751,-0.038839083,15597257
28,ABC_transporter,PA,877955,NP_250984,-0.206215131,15597490
29,ABC_transporter,PA,879423,NP_250998,0.275357959,15597504
30,ABC_transporter,PA,883116,NP_251019,0.086056163,15597525
31,ABC_transporter,PA,879637,NP_251098,0.172422386,15597604
32,ABC_transporter,PA,880277,NP_251502,-0.179267111,15598008
33,ABC_transporter,PA,880445,NP_251547,0.130542552,15598053
34,ABC_transporter,PA,882592,NP_251602,-0.049916869,15598108
35,ABC_transporter,PA,878861,NP_251709,0.072257577,15598215
36,ABC_transporter,PA,880539,NP_251877,-0.163995647,300651932
37,ABC_transporter,PA,882551,NP_251902,-0.029144279,15598408
38,ABC_transporter,PA,882417,NP_251944,-0.048960114,15598450
39,ABC_transporter,PA,879947,NP_252065,-0.092304993,15598571
40,ABC_transporter,PA,879616,NP_252137,0.046428638,81857081
41,ABC_transporter,PA,879967,NP_252204,-0.27424162,15598710
42,ABC_transporter,PA,879008,NP_252228,-0.056465217,15598734
