From	To	Species	Gene Name
NP_253120	9950663	Pseudomonas aeruginosa PAO1	cytochrome b(PA4430)
NP_253120	15599626	Pseudomonas aeruginosa PAO1	cytochrome b(PA4430)
NP_253761	9951367	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA5074)
NP_253761	15600267	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA5074)
NP_254178	15600684	Pseudomonas aeruginosa PAO1	cytochrome(PA5491)
NP_254178	9951825	Pseudomonas aeruginosa PAO1	cytochrome(PA5491)
NP_249786	9947012	Pseudomonas aeruginosa PAO1	B-type flagellar protein FliS(PA1095)
NP_249786	14548039	Pseudomonas aeruginosa PAO1	B-type flagellar protein FliS(PA1095)
NP_249786	15596292	Pseudomonas aeruginosa PAO1	B-type flagellar protein FliS(PA1095)
NP_253918	15600424	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein/permease(PA5231)
NP_253918	9951539	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein/permease(PA5231)
NP_248846	15595354	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA0156)
NP_248846	9945987	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA0156)
NP_253917	15600423	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA5230)
NP_253917	9951538	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA5230)
NP_249816	9947044	Pseudomonas aeruginosa PAO1	NAD-dependent protein deacylase(PA1125)
NP_249816	15596322	Pseudomonas aeruginosa PAO1	NAD-dependent protein deacylase(PA1125)
NP_249816	38258248	Pseudomonas aeruginosa PAO1	NAD-dependent protein deacylase(PA1125)
NP_248848	9945989	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux transporter(PA0158)
NP_248848	15595356	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux transporter(PA0158)
NP_248847	9945988	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA0157)
NP_248847	15595355	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA0157)
NP_251218	9948584	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA2528)
NP_251218	15597724	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA2528)
NP_253119	15599625	Pseudomonas aeruginosa PAO1	cytochrome C1(PA4429)
NP_253119	9950662	Pseudomonas aeruginosa PAO1	cytochrome C1(PA4429)
NP_252822	9950338	Pseudomonas aeruginosa PAO1	cbb3-type cytochrome C oxidase subunit I(PA4133)
NP_252822	15599328	Pseudomonas aeruginosa PAO1	cbb3-type cytochrome C oxidase subunit I(PA4133)
NP_251216	9948582	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux transporter(PA2526)
NP_251216	15597722	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux transporter(PA2526)
NP_251217	218310075	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux transporter(PA2527)
NP_251217	9948583	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux transporter(PA2527)
NP_251217	15597723	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux transporter(PA2527)
NP_253597	15600103	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4910)
NP_253597	9951187	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4910)
NP_250127	9947386	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux transporter(PA1436)
NP_250127	15596633	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux transporter(PA1436)
NP_254205	15600711	Pseudomonas aeruginosa PAO1	potassium efflux transporter(PA5518)
NP_254205	9951855	Pseudomonas aeruginosa PAO1	potassium efflux transporter(PA5518)
NP_250126	9947385	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA1435)
NP_250126	15596632	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA1435)
NP_250126	259707741	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA1435)
NP_250126	300574701	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA1435)
NP_252021	9949462	Pseudomonas aeruginosa PAO1	cytochrome P450(PA3331)
NP_252021	15598527	Pseudomonas aeruginosa PAO1	cytochrome P450(PA3331)
NP_253596	15600102	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4909)
NP_253596	9951186	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4909)
NP_253193	9950743	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4503)
NP_253193	15599699	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4503)
NP_253194	15599700	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4504)
NP_253194	9950744	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4504)
