ENTREZID	Log2fc_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)	Log2fc_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in vertical position)	Log2fc_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Rotating Wall Vessel bioreactor (RWV) in vertical position)	Log2fc_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Random Positioning Machine (RPM))	Log2fc_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Random Positioning Machine (RPM))	Log2fc_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)	Adj.p.value_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)	Adj.p.value_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in vertical position)	Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Rotating Wall Vessel bioreactor (RWV) in vertical position)	Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Random Positioning Machine (RPM))	Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Random Positioning Machine (RPM))	Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)
877884	-0.101873641	0.080928021	0.182801663	0.101873641	-0.080928021	-0.182801663	0.346104661	0.406036944	0.055671704	0.346104661	0.406036944	0.055671704
878380	-0.187309066	0.000559208	0.187868274	0.187309066	-0.000559208	-0.187868274	0.378245287	0.99789492	0.265720061	0.378245287	0.99789492	0.265720061
878515	0.048694384	0.143080851	0.094386468	-0.048694384	-0.143080851	-0.094386468	0.771397619	0.433301572	0.544173116	0.771397619	0.433301572	0.544173116
878522	0.059624801	0.11411504	0.054490239	-0.059624801	-0.11411504	-0.054490239	0.609221083	0.365697659	0.608583023	0.609221083	0.365697659	0.608583023
878805	-0.020607108	-0.044267272	-0.023660164	0.020607108	0.044267272	0.023660164	0.835225362	0.642502259	0.796481546	0.835225362	0.642502259	0.796481546
879023	0.038833821	0.174055227	0.135221406	-0.038833821	-0.174055227	-0.135221406	0.830126426	0.362757691	0.395512505	0.830126426	0.362757691	0.395512505
879321	0.224284051	-0.370386505	-0.594670556	-0.224284051	0.370386505	0.594670556	0.66097868	0.491548681	0.221655174	0.66097868	0.491548681	0.221655174
879411	-0.038469493	0.130350343	0.168819836	0.038469493	-0.130350343	-0.168819836	0.593131669	0.109845998	0.033540081	0.593131669	0.109845998	0.033540081
879515	-0.024953277	0.04416037	0.069113647	0.024953277	-0.04416037	-0.069113647	0.758628995	0.58834428	0.356282574	0.758628995	0.58834428	0.356282574
879765	-0.060841748	-0.026884117	0.033957631	0.060841748	0.026884117	-0.033957631	0.578851425	0.80041259	0.733464094	0.578851425	0.80041259	0.733464094
880087	0.008900125	0.114734526	0.105834401	-0.008900125	-0.114734526	-0.105834401	0.949675527	0.41069926	0.365306097	0.949675527	0.41069926	0.365306097
880469	-0.291695098	0.077866515	0.369561613	0.291695098	-0.077866515	-0.369561613	0.250079297	0.673449743	0.058826318	0.250079297	0.673449743	0.058826318
880658	0.007856056	0.018096362	0.010240307	-0.007856056	-0.018096362	-0.010240307	0.922589144	0.8191395	0.892947882	0.922589144	0.8191395	0.892947882
880771	0.085172888	0.148519596	0.063346708	-0.085172888	-0.148519596	-0.063346708	0.638434943	0.452111027	0.7125291	0.638434943	0.452111027	0.7125291
881062	0.175296926	-0.384951468	-0.560248394	-0.175296926	0.384951468	0.560248394	0.736197031	0.483180845	0.250605182	0.736197031	0.483180845	0.250605182
881067	0.034090573	0.0532724	0.019181827	-0.034090573	-0.0532724	-0.019181827	0.691359172	0.544957599	0.820250177	0.691359172	0.544957599	0.820250177
881082	-0.229347601	-0.129666583	0.099681019	0.229347601	0.129666583	-0.099681019	0.50942747	0.690626527	0.746832877	0.50942747	0.690626527	0.746832877
881096	-0.014762193	-0.260545638	-0.245783445	0.014762193	0.260545638	0.245783445	0.954163824	0.318615187	0.264798216	0.954163824	0.318615187	0.264798216
883108	-0.207717935	0.026873675	0.23459161	0.207717935	-0.026873675	-0.23459161	0.421488373	0.912623582	0.267933189	0.421488373	0.912623582	0.267933189
