GENENAME	ENTREZID	Log2fc_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)	Log2fc_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in vertical position)	Log2fc_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Rotating Wall Vessel bioreactor (RWV) in vertical position)	Log2fc_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Random Positioning Machine (RPM))	Log2fc_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Random Positioning Machine (RPM))	Log2fc_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)	Adj.p.value_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)	Adj.p.value_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in vertical position)	Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Rotating Wall Vessel bioreactor (RWV) in vertical position)	Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Random Positioning Machine (RPM))	Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Random Positioning Machine (RPM))	Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)
cytochrome	877792	-0.002603548	-0.243827112	-0.241223564	0.002603548	0.243827112	0.241223564	0.980917124	0.052605261	0.033380795	0.980917124	0.052605261	0.033380795
cytochrome b	880944	0.025740609	-0.731251693	-0.756992302	-0.025740609	0.731251693	0.756992302	0.8699852	0.006190571	0.003952782	0.8699852	0.006190571	0.003952782
cytochrome b561	878803	0.106819428	-0.266550456	-0.373369884	-0.106819428	0.266550456	0.373369884	0.526857238	0.143335832	0.03646458	0.526857238	0.143335832	0.03646458
cytochrome C	879571	-0.082607976	-0.026439959	0.056168018	0.082607976	0.026439959	-0.056168018	0.396580301	0.755394623	0.468685474	0.396580301	0.755394623	0.468685474
cytochrome C	879889	-0.083749028	-0.496875167	-0.413126139	0.083749028	0.496875167	0.413126139	0.698662969	0.065410682	0.071333124	0.698662969	0.065410682	0.071333124
cytochrome C	880955	0.359036124	-0.197759243	-0.556795367	-0.359036124	0.197759243	0.556795367	0.339382238	0.534524826	0.080576806	0.339382238	0.534524826	0.080576806
cytochrome C	881146	-0.242822372	-0.122801767	0.120020605	0.242822372	0.122801767	-0.120020605	0.283674974	0.493191178	0.443571694	0.283674974	0.493191178	0.443571694
cytochrome C	881945	-0.088947286	0.062880176	0.151827462	0.088947286	-0.062880176	-0.151827462	0.463607996	0.576174218	0.15949442	0.463607996	0.576174218	0.15949442
cytochrome C oxidase assembly protein	882009	-0.120742975	-0.026810994	0.09393198	0.120742975	0.026810994	-0.09393198	0.527515384	0.888846831	0.568909364	0.527515384	0.888846831	0.568909364
cytochrome C oxidase subunit	882206	-0.076256746	0.118963973	0.195220719	0.076256746	-0.118963973	-0.195220719	0.406232447	0.190555489	0.032526116	0.406232447	0.190555489	0.032526116
cytochrome C1	881210	0.214947367	-0.629887039	-0.844834406	-0.214947367	0.629887039	0.844834406	0.439961768	0.051436549	0.012024231	0.439961768	0.051436549	0.012024231
cytochrome P450	879833	0.104974271	0.160947565	0.055973294	-0.104974271	-0.160947565	-0.055973294	0.627113373	0.479617544	0.783451792	0.627113373	0.479617544	0.783451792
cytochrome P450	882496	-0.102422275	-0.210580198	-0.108157923	0.102422275	0.210580198	0.108157923	0.694077415	0.45817893	0.661191135	0.694077415	0.45817893	0.661191135
