REFSEQ,SYMBOL,GENENAME,ENTREZID,GOSLIM_IDS,Ecol-K-12MG1655-1G-CTRL-Rep1,Ecol-K-12MG1655-1G-CTRL-Rep2,Ecol-K-12MG1655-1G-CTRL-Rep3,Ecol-K-12MG1655-1G-CTRL-Rep4,Ecol-K-12MG1655-uG-Clinorotation-Rep1,Ecol-K-12MG1655-uG-Clinorotation-Rep2,Ecol-K-12MG1655-uG-Clinorotation-Rep3,Ecol-K-12MG1655-uG-Clinorotation-Rep4,All.mean,All.stdev,F.p.value,Group.Mean_(1G),Group.Mean_(uG),Group.Stdev_(1G),Group.Stdev_(uG),Log2fc_(1G)v(uG),Log2fc_(uG)v(1G),P.value_(1G)v(uG),P.value_(uG)v(1G),Adj.p.value_(1G)v(uG),Adj.p.value_(uG)v(1G)
NP_418771,mrr,methylated adenine and cytosine restriction protein,948898,"GO:0003676, GO:0003677, GO:0003824, GO:0004518, GO:0005488, GO:0016787, GO:0016788, GO:0008152",8.490986582,8.42854543,8.363364921,7.879339034,8.710093983,8.078216406,8.356177689,8.149684882,8.307051116,0.060083641,0.853293149,8.32354324,8.290558992,4.16177162,4.145279496,0.032984248,-0.032984248,0.853293149,0.853293149,0.998164659,0.998164659
NP_416998,yfgF,"cyclic-di-GMP phosphodiesterase, anaerobic",946968,NA,9.185616259,9.186756709,9.036374657,8.974397949,9.098762338,8.994149056,9.111654304,9.08023635,9.083493453,0.01216956,0.759803459,9.071200512,9.095786394,4.535600256,4.547893197,-0.024585882,0.024585882,0.759803459,0.759803459,0.998164659,0.998164659
NP_415672,stfP,e14 prophage; uncharacterized protein,945726,,8.414682373,8.449364314,8.344372137,8.480712604,8.48398831,8.597834781,8.34977596,8.55742631,8.459769599,0.012493097,0.367578891,8.49725634,8.422282857,4.24862817,4.211141429,0.074973483,-0.074973483,0.367578891,0.367578891,0.998164659,0.998164659
NP_416776,yfbN,uncharacterized protein,946748,,8.584591892,8.622544083,8.370854706,8.60582654,8.63677275,8.403557152,8.498620254,8.518603766,8.530171393,0.015068545,0.724502297,8.514388481,8.545954305,4.25719424,4.272977153,-0.031565825,0.031565825,0.724502297,0.724502297,0.998164659,0.998164659
NP_417904,ggt,gamma-glutamyltranspeptidase,947947,"GO:0003824, GO:0006464, GO:0006508, GO:0006520, GO:0008152, GO:0008233, GO:0016740, GO:0016746, GO:0016787, GO:0019538, GO:0044238",8.703393183,8.714584504,8.631793589,8.815428157,8.798252452,8.760521028,8.64925461,8.699289019,8.721564568,0.010739904,0.888911128,8.726829277,8.716299858,4.363414639,4.358149929,0.010529419,-0.010529419,0.888911128,0.888911128,0.998164659,0.998164659
NP_415715,treA,periplasmic trehalase,945757,NA,8.564910421,8.512660773,8.460529888,8.180666223,8.637769553,8.620512033,8.512779536,8.307664554,8.474686623,0.024852815,0.440310252,8.519681419,8.429691827,4.259840709,4.214845913,0.089989592,-0.089989592,0.440310252,0.440310252,0.998164659,0.998164659
NP_415356,rimO,ribosomal protein S12 methylthiotransferase,945465,"GO:0003824, GO:0005622, GO:0005737, GO:0005829, GO:0006464, GO:0008152, GO:0009987, GO:0016740, GO:0019538, GO:0044238, GO:0044464",8.560285931,8.398784982,8.529891892,8.792163661,8.55081206,8.754218324,8.701409773,8.842755213,8.641290229,0.021310913,0.202131017,8.712298842,8.570281617,4.356149421,4.285140808,0.142017226,-0.142017226,0.202131017,0.202131017,0.998164659,0.998164659
NP_416875,frc,"formyl-CoA transferase, NAD(P)-binding",946842,NA,9.199152429,9.047515764,8.979961022,8.514025309,9.011264142,8.924239112,8.996353102,8.834322401,8.93835416,0.038632824,0.964382122,8.941544689,8.935163631,4.470772345,4.467581815,0.006381058,-0.006381058,0.964382122,0.964382122,0.998164659,0.998164659
NP_415220,speF,"ornithine decarboxylase isozyme, inducible",945297,NA,8.487229874,8.465094789,8.522905435,8.773545629,8.296079639,8.471297343,8.56437688,8.577428611,8.519744775,0.01980064,0.415639915,8.477295618,8.562193932,4.238647809,4.281096966,-0.084898313,0.084898313,0.415639915,0.415639915,0.998164659,0.998164659
NP_418729,nanS,9-O-acetyl N-acetylneuraminic acid esterase,948835,NA,8.793649234,8.742345254,8.662452722,8.907909689,8.832145622,8.689825776,8.732249538,8.994576425,8.794394283,0.017026371,0.70849565,8.81219934,8.776589225,4.40609967,4.388294612,0.035610116,-0.035610116,0.70849565,0.70849565,0.998164659,0.998164659
