,From,To,Species,Gene Name
0,NP_390434,728885481,Bacillus subtilis subsp. subtilis str. 168,hypothetical protein(holA)
1,NP_388354,728883360,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma-B factor(sigB)
2,NP_391407,728886445,Bacillus subtilis subsp. subtilis str. 168,cytochrome c-551(cccB)
3,NP_388592,728883607,Bacillus subtilis subsp. subtilis str. 168,ABC transporter permease LplB(lplB)
4,NP_388593,728883608,Bacillus subtilis subsp. subtilis str. 168,ABC transporter permease LplC(lplC)
5,NP_391362,728886402,Bacillus subtilis subsp. subtilis str. 168,multidrug resistance ABC transporter ATP-binding/permease protein BmrA(bmrA)
6,NP_390551,728885604,Bacillus subtilis subsp. subtilis str. 168,cytochrome P450(cypA)
7,NP_391520,728886557,Bacillus subtilis subsp. subtilis str. 168,flagellar hook-basal body complex protein FlhP(flhP)
8,NP_390398,728885444,Bacillus subtilis subsp. subtilis str. 168,cytochrome c-550(cccA)
9,NP_390399,728885445,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma factor RpoD(sigA)
10,NP_391521,728886558,Bacillus subtilis subsp. subtilis str. 168,flagellar hook-basal body complex protein FlhO(flhO)
11,NP_391755,728886797,Bacillus subtilis subsp. subtilis str. 168,cytochrome d ubiquinol oxidase subunit 1(cydA)
12,NP_388885,728883893,Bacillus subtilis subsp. subtilis str. 168,ABC transporter ATP-binding protein(ecsA)
13,NP_390787,728885841,Bacillus subtilis subsp. subtilis str. 168,DNA polymerase I(polA)
14,NP_391754,728886796,Bacillus subtilis subsp. subtilis str. 168,cytochrome d ubiquinol oxidase subunit 2(cydB)
15,NP_390263,728885307,Bacillus subtilis subsp. subtilis str. 168,NADPH dehydrogenase(yqjM)
16,NP_391597,728886635,Bacillus subtilis subsp. subtilis str. 168,DNA-directed RNA polymerase subunit delta(rpoE)
17,NP_391234,728886277,Bacillus subtilis subsp. subtilis str. 168,FMN-dependent NADH-azoreductase 2(yvaB)
18,NP_391751,728886793,Bacillus subtilis subsp. subtilis str. 168,ADP-dependent (S)-NAD(P)H-hydrate dehydratase(yxkO)
19,NP_390267,728885311,Bacillus subtilis subsp. subtilis str. 168,6-phosphogluconate dehydrogenase(yqjI)
20,NP_389605,1018192179,Bacillus subtilis subsp. subtilis str. 168,polyketide biosynthesis cytochrome P450 PksS(pksS)
21,NP_388852,728883860,Bacillus subtilis subsp. subtilis str. 168,multidrug resistance ABC transporter ATP-binding/permease protein YheI(yheI)
22,NP_390897,728887148,Bacillus subtilis subsp. subtilis str. 168,biotin biosynthesis cytochrome P450(bioI)
23,NP_390536,728885588,Bacillus subtilis subsp. subtilis str. 168,multidrug resistance protein 2(blt)
24,NP_387883,728882889,Bacillus subtilis subsp. subtilis str. 168,DNA polymerase III subunit beta(dnaN)
25,NP_389540,728884566,Bacillus subtilis subsp. subtilis str. 168,DNA polymerase III PolC-type(polC)
26,NP_388054,728883063,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma factor SigW(sigW)
27,NP_391749,728886791,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma factor SigY(sigY)
28,NP_391586,16080758,Bacillus subtilis subsp. subtilis str. 168,NAD-dependent malic enzyme 2(ywkA)
29,NP_387912,728882918,Bacillus subtilis subsp. subtilis str. 168,DNA polymerase III subunit delta(holB)
30,NP_389416,728884442,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma-G factor(sigG)
31,NP_389415,728884441,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma-E factor(sigE)
32,NP_389676,728884707,Bacillus subtilis subsp. subtilis str. 168,cytochrome c-type biogenesis protein CcdA(ccdA)
33,NP_390920,728885968,Bacillus subtilis subsp. subtilis str. 168,ABC transporter ATP-binding protein(ytrE)
34,NP_390800,728885853,Bacillus subtilis subsp. subtilis str. 168,NAD-dependent malic enzyme 4(ytsJ)
35,NP_390921,728885969,Bacillus subtilis subsp. subtilis str. 168,ABC transporter permease(ytrD)
36,NP_390922,728885970,Bacillus subtilis subsp. subtilis str. 168,ABC transporter permease(ytrC)
37,NP_390801,728885854,Bacillus subtilis subsp. subtilis str. 168,DNA polymerase III subunit alpha(dnaE)
38,NP_390923,728885971,Bacillus subtilis subsp. subtilis str. 168,ABC transporter ATP-binding protein(ytrB)
39,NP_391694,728886734,Bacillus subtilis subsp. subtilis str. 168,quinol oxidase subunit 3(qoxC)
40,NP_391693,728886733,Bacillus subtilis subsp. subtilis str. 168,quinol oxidase subunit 4(qoxD)
41,NP_391696,255767807,Bacillus subtilis subsp. subtilis str. 168,quinol oxidase subunit 2(qoxA)
42,NP_390243,728885287,Bacillus subtilis subsp. subtilis str. 168,oxidoreductase(yqkF)
43,NP_391695,728886735,Bacillus subtilis subsp. subtilis str. 168,quinol oxidase subunit 1(qoxB)
44,NP_388853,728883861,Bacillus subtilis subsp. subtilis str. 168,multidrug resistance ABC transporter ATP-binding/permease protein YheH(yheH)
45,NP_391843,728886886,Bacillus subtilis subsp. subtilis str. 168,ABC transporter ATP-binding protein(yxdL)
46,NP_391842,728886885,Bacillus subtilis subsp. subtilis str. 168,ABC transporter permease(yxdM)
47,NP_387982,728882990,Bacillus subtilis subsp. subtilis str. 168,transcription termination/antitermination protein NusG(nusG)
48,NP_391043,728886092,Bacillus subtilis subsp. subtilis str. 168,Na(+)/H(+) antiporter subunit F(mrpF)
49,NP_390594,728885645,Bacillus subtilis subsp. subtilis str. 168,bifunctional P-450/NADPH-P450 reductase 2(cypB)
50,NP_390915,728885964,Bacillus subtilis subsp. subtilis str. 168,bacitracin export permease protein BceB(bceB)
51,NP_389916,728884958,Bacillus subtilis subsp. subtilis str. 168,DNA polymerase YorL(yorL)
52,NP_387979,728882987,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma-H factor(sigH)
53,NP_389516,728884542,Bacillus subtilis subsp. subtilis str. 168,flagellar biosynthetic protein FliZ(fliZ)
54,NP_389513,728884539,Bacillus subtilis subsp. subtilis str. 168,flagellar motor switch protein FliM(fliM)
55,NP_388667,728883680,Bacillus subtilis subsp. subtilis str. 168,MFS transporter(yfkL)
56,NP_389514,728884540,Bacillus subtilis subsp. subtilis str. 168,flagellar motor switch phosphatase FliY(fliY)
57,NP_389258,728884277,Bacillus subtilis subsp. subtilis str. 168,7-cyano-7-deazaguanine reductase(ykvM)
58,NP_390226,728885268,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma-F factor(sigF)
59,NP_390866,728885920,Bacillus subtilis subsp. subtilis str. 168,NAD-dependent malic enzyme 3(malS)
60,NP_389375,728884400,Bacillus subtilis subsp. subtilis str. 168,cytochrome c oxidase subunit 4B(ctaF)
61,NP_389376,728884401,Bacillus subtilis subsp. subtilis str. 168,cytochrome c oxidase assembly factor CtaG(ctaG)
62,NP_389373,728884398,Bacillus subtilis subsp. subtilis str. 168,cytochrome c oxidase subunit 1(ctaD)
63,NP_389374,728884399,Bacillus subtilis subsp. subtilis str. 168,cytochrome c oxidase subunit 3(ctaE)
64,NP_389372,728884397,Bacillus subtilis subsp. subtilis str. 168,cytochrome c oxidase subunit 2(ctaC)
65,NP_390191,728885236,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma factor SigX(sigX)
66,NP_390590,728885641,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma factor SigV(sigV)
67,NP_387989,728882997,Bacillus subtilis subsp. subtilis str. 168,DNA-directed RNA polymerase subunit beta'(rpoC)
68,NP_387988,728882996,Bacillus subtilis subsp. subtilis str. 168,DNA-directed RNA polymerase subunit beta(rpoB)
69,NP_387900,728882906,Bacillus subtilis subsp. subtilis str. 168,DNA polymerase III subunit gamma/tau(dnaX)
70,NP_388714,728883728,Bacillus subtilis subsp. subtilis str. 168,transport permease YfiN(yfiN)
71,NP_389529,728884555,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma-D factor(sigD)
72,NP_388833,728883844,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma factor SigM(sigM)
73,NP_388712,728883726,Bacillus subtilis subsp. subtilis str. 168,ABC transporter ATP-binding protein(yfiL)
74,NP_388713,728883727,Bacillus subtilis subsp. subtilis str. 168,transport permease YfiM(yfiM)
75,NP_389500,728884527,Bacillus subtilis subsp. subtilis str. 168,flagellar basal body rod protein FlgB(flgB)
76,NP_390731,728885785,Bacillus subtilis subsp. subtilis str. 168,electron transfer flavoprotein subunit beta(etfB)
77,NP_389501,728884528,Bacillus subtilis subsp. subtilis str. 168,flagellar basal-body rod protein FlgC(flgC)
78,NP_389103,728884114,Bacillus subtilis subsp. subtilis str. 168,cytochrome P450 YjiB(yjiB)
79,NP_390737,728885791,Bacillus subtilis subsp. subtilis str. 168,DNA polymerase/3'-5' exonuclease PolX(yshC)
80,NP_391421,728886460,Bacillus subtilis subsp. subtilis str. 168,flagellar hook-associated protein 1(flgK)
81,NP_391300,728886343,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma-54 factor(sigL)
82,NP_391420,728886459,Bacillus subtilis subsp. subtilis str. 168,flagellar hook-associated protein 3(flgL)
83,NP_390730,728885784,Bacillus subtilis subsp. subtilis str. 168,electron transfer flavoprotein subunit alpha(etfA)
84,NP_388886,728883894,Bacillus subtilis subsp. subtilis str. 168,ABC transporter permease EcsB(ecsB)
85,NP_388268,728883272,Bacillus subtilis subsp. subtilis str. 168,FMN reductase(ycnD)
86,NP_391414,728886453,Bacillus subtilis subsp. subtilis str. 168,flagellar hook-associated protein 2(fliD)
87,NP_389511,728884536,Bacillus subtilis subsp. subtilis str. 168,flagellar basal-body rod protein FlgG(flgG)
88,NP_388664,728883677,Bacillus subtilis subsp. subtilis str. 168,NAD(P)H nitroreductase YfkO(yfkO)
89,NP_391413,728886452,Bacillus subtilis subsp. subtilis str. 168,flagellar protein FliS(fliS)
90,NP_389512,728884538,Bacillus subtilis subsp. subtilis str. 168,flagellar protein FliL(fliL)
91,NP_391416,728886455,Bacillus subtilis subsp. subtilis str. 168,flagellin(hag)
92,NP_388024,728883032,Bacillus subtilis subsp. subtilis str. 168,DNA-directed RNA polymerase subunit alpha(rpoA)
93,NP_388783,728883795,Bacillus subtilis subsp. subtilis str. 168,hypothetical protein(yhcB)
94,NP_389356,728887093,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma factor YlaC(ylaC)
95,NP_389510,728884535,Bacillus subtilis subsp. subtilis str. 168,basal-body rod modification protein FlgD(flgD)
96,NP_389111,728884123,Bacillus subtilis subsp. subtilis str. 168,NADH dehydrogenase-like protein YjlD(ndh)
97,NP_391650,728886690,Bacillus subtilis subsp. subtilis str. 168,bacilysin exporter BacE(bacE)
98,NP_390164,728885208,Bacillus subtilis subsp. subtilis str. 168,glycerol-3-phosphate dehydrogenase(gpsA)
99,NP_390561,728885614,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma factor SigZ(sigZ)
100,NP_391014,728886064,Bacillus subtilis subsp. subtilis str. 168,NADH-dependent butanol dehydrogenase 2(yugK)
101,NP_391412,728886451,Bacillus subtilis subsp. subtilis str. 168,flagellar protein FliT(fliT)
102,NP_391895,728886939,Bacillus subtilis subsp. subtilis str. 168,peptide export ATP-binding protein YydI(yydI)
103,NP_391015,728886065,Bacillus subtilis subsp. subtilis str. 168,NADH-dependent butanol dehydrogenase 1(yugJ)
104,YP_003097728,728884537,Bacillus subtilis subsp. subtilis str. 168,hypothetical protein(ylzI)
105,NP_389509,728884534,Bacillus subtilis subsp. subtilis str. 168,flagellar hook-length control protein(fliK)
106,NP_389506,728884531,Bacillus subtilis subsp. subtilis str. 168,flagellum-specific ATP synthase(fliI)
107,NP_389507,728884532,Bacillus subtilis subsp. subtilis str. 168,flagellar FliJ protein(fliJ)
108,NP_389504,728884530,Bacillus subtilis subsp. subtilis str. 168,flagellar motor switch protein FliG(fliG)
109,NP_389505,255767365,Bacillus subtilis subsp. subtilis str. 168,flagellar assembly protein FliH(fliH)
110,NP_389502,728887098,Bacillus subtilis subsp. subtilis str. 168,flagellar hook-basal body complex protein FliE(fliE)
111,NP_389228,728884246,Bacillus subtilis subsp. subtilis str. 168,RNA polymerase sigma factor SigI(sigI)
112,NP_389503,16078684,Bacillus subtilis subsp. subtilis str. 168,flagellar M-ring protein(fliF)
